Area_NId;Area_Parent_NId;Area_Parent_GId;Area_ID;Area_Name;Area_GId;Area_Level;Area_Map;Area_Block;Area_Global
747;745;05f1ba3b-c979-4cdb-8a79-9bbe030a17b4;AFRCOM002001;Domoni;4ba90de6-ee78-49d6-9365-9536ca71c68e;4;afr_com_l03_1999.shp;;FALSE
761;745;05f1ba3b-c979-4cdb-8a79-9bbe030a17b4;AFRCOM002002;Mutsamudu;e44d9716-bd9c-40aa-9a18-6d970f344163;4;afr_com_l03_1999.shp;;FALSE
778;745;05f1ba3b-c979-4cdb-8a79-9bbe030a17b4;AFRCOM002003;Mramani;db65a8fc-3718-40a6-bff9-875d3db8f12b;4;afr_com_l03_1999.shp;;FALSE
789;745;05f1ba3b-c979-4cdb-8a79-9bbe030a17b4;AFRCOM002004;Mremani;d6df5027-c045-4cb3-af92-730760f2c128;4;afr_com_l03_1999.shp;;FALSE
802;745;05f1ba3b-c979-4cdb-8a79-9bbe030a17b4;AFRCOM002005;Ouani;d7cef5cd-1a4f-496d-ab94-af688338a8ab;4;afr_com_l03_1999.shp;;FALSE
813;745;05f1ba3b-c979-4cdb-8a79-9bbe030a17b4;AFRCOM002006;Tsembehou;56c0efe1-2c12-4190-ad64-10ab3f20f426;4;afr_com_l03_1999.shp;;FALSE
817;745;05f1ba3b-c979-4cdb-8a79-9bbe030a17b4;AFRCOM002007;Moya;ff4282ad-a04d-4175-8fc4-874cdaa176af;4;afr_com_l03_1999.shp;;FALSE
832;745;05f1ba3b-c979-4cdb-8a79-9bbe030a17b4;AFRCOM002008;Sima;425212f9-d4d4-4131-94d7-99c1f4b9612e;4;afr_com_l03_1999.shp;;FALSE
845;744;3bdb1b68-0b06-46ba-8a53-7660edb680b0;AFRCOM003003;Domba;83da8b89-0670-43da-9a21-f94c7757ee5a;4;afr_com_l03_1999.shp;;FALSE
851;744;3bdb1b68-0b06-46ba-8a53-7660edb680b0;AFRCOM003004;Dimani;2320260d-447f-4120-8543-7f12c78a7206;4;afr_com_l03_1999.shp;;FALSE
865;744;3bdb1b68-0b06-46ba-8a53-7660edb680b0;AFRCOM003006;Hamahamet;98d9ac0f-48da-4cc4-ba5d-5b06178cc2a4;4;afr_com_l03_1999.shp;;FALSE
886;744;3bdb1b68-0b06-46ba-8a53-7660edb680b0;AFRCOM003010;Bambao;ac4da4c2-295d-4169-8732-544a04405658;4;afr_com_l03_1999.shp;;FALSE
904;744;3bdb1b68-0b06-46ba-8a53-7660edb680b0;AFRCOM003011;Hambou;92e8bfc2-a41c-4725-9af6-d2e731176f47;4;afr_com_l03_1999.shp;;FALSE
916;744;3bdb1b68-0b06-46ba-8a53-7660edb680b0;AFRCOM003013;Hamanvou;d1231b82-7d82-4485-b9f4-56ec402a40b8;4;afr_com_l03_1999.shp;;FALSE
926;744;3bdb1b68-0b06-46ba-8a53-7660edb680b0;AFRCOM003014;Itsandra;a4a19f70-76f0-44be-a65d-60a03d526656;4;;;FALSE
944;746;57c818ed-c99e-43c2-95f8-7c658840ee4d;AFRCOM001001;Fomboni;7b6ea4d8-67a2-4b09-ae18-07228569cb7c;4;;;FALSE
953;746;57c818ed-c99e-43c2-95f8-7c658840ee4d;AFRCOM001002;Nioumachoua;7b09623d-b164-4fea-a7da-2501ddbbd9a0;4;;;FALSE
962;746;57c818ed-c99e-43c2-95f8-7c658840ee4d;AFRCOM001003;Wanani;ea67615b-9e2d-447e-a177-d12ee3fa8188;4;;;FALSE
970;744;3bdb1b68-0b06-46ba-8a53-7660edb680b0;AFRCOM003001;Mbadjini Ouest (Dembeni);f7ac9129-f917-4192-87d0-2b1c5ac2f053;4;;;FALSE
990;744;3bdb1b68-0b06-46ba-8a53-7660edb680b0;AFRCOM003002;Mbadjini Est (Foumbouni);a08e8a86-db7a-4b78-a340-f02dc58e1b78;4;;;FALSE
1012;744;3bdb1b68-0b06-46ba-8a53-7660edb680b0;AFRCOM003005;Wachili;28c9b0f0-1302-49b2-aab7-3d125a670e2b;4;;;FALSE
1029;744;3bdb1b68-0b06-46ba-8a53-7660edb680b0;AFRCOM003007;Mbwankou;8b852bde-e04a-4ba4-9084-dd151004101e;4;;;FALSE
1038;744;3bdb1b68-0b06-46ba-8a53-7660edb680b0;AFRCOM003008;Mboude;d08d81a0-c6e3-479e-9b57-e388cb5cd4a5;4;;;FALSE
1056;744;3bdb1b68-0b06-46ba-8a53-7660edb680b0;AFRCOM003009;Mitsamiouli;35c6bc5a-f92c-4a81-9c83-900dd6f30562;4;;;FALSE
1078;744;3bdb1b68-0b06-46ba-8a53-7660edb680b0;AFRCOM003012;Moroni;97ef98fc-92e6-490d-98b6-df3ad63a5b1d;4;;;FALSE
