Data_NId,IUSNId,TimePeriod_NId,Area_NId,Data_Value,Start_Date,End_Date,Data_Denominator,Source_NId,Indicator_NId,Unit_NId,Subgroup_Val_NId,Indicator_GId,Unit_GId,Subgroup_Val_GId,TimePeriod,Area_GId,Source_GId
6893,644,310,504,125954,,,,573,253,9,2,0425c475-38fa-42aa-9a43-a3df5f5b62cf,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,15235530-8209-469e-8333-dc93254f2ec9,2004,7993AF30-FE20-4D8D-908A-637AE87DF811,49985FEB-AB3D-0FEC-5E13-20C572625B99
9263,642,304,504,40927,,,,573,253,9,8,0425c475-38fa-42aa-9a43-a3df5f5b62cf,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,9d0bc5f6-9e75-49c8-9511-8be75aba9275,2001,7993AF30-FE20-4D8D-908A-637AE87DF811,49985FEB-AB3D-0FEC-5E13-20C572625B99
9268,642,308,504,43500,,,,573,253,9,8,0425c475-38fa-42aa-9a43-a3df5f5b62cf,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,9d0bc5f6-9e75-49c8-9511-8be75aba9275,2003,7993AF30-FE20-4D8D-908A-637AE87DF811,49985FEB-AB3D-0FEC-5E13-20C572625B99
9607,646,271,504,63060,,,,573,253,13,9,0425c475-38fa-42aa-9a43-a3df5f5b62cf,B602B58B-6879-4188-9D49-DD833281FE4E,a829fab7-cfdd-46f7-a8b7-678a952d2055,1990,7993AF30-FE20-4D8D-908A-637AE87DF811,49985FEB-AB3D-0FEC-5E13-20C572625B99
9261,642,284,504,34018,,,,573,253,9,8,0425c475-38fa-42aa-9a43-a3df5f5b62cf,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,9d0bc5f6-9e75-49c8-9511-8be75aba9275,1995,7993AF30-FE20-4D8D-908A-637AE87DF811,49985FEB-AB3D-0FEC-5E13-20C572625B99
7273,642,271,504,30019,,,,573,253,9,8,0425c475-38fa-42aa-9a43-a3df5f5b62cf,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,9d0bc5f6-9e75-49c8-9511-8be75aba9275,1990,7993AF30-FE20-4D8D-908A-637AE87DF811,49985FEB-AB3D-0FEC-5E13-20C572625B99
9266,643,304,504,76535,,,,573,253,9,9,0425c475-38fa-42aa-9a43-a3df5f5b62cf,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,a829fab7-cfdd-46f7-a8b7-678a952d2055,2001,7993AF30-FE20-4D8D-908A-637AE87DF811,49985FEB-AB3D-0FEC-5E13-20C572625B99
7272,643,271,504,63060,,,,573,253,9,9,0425c475-38fa-42aa-9a43-a3df5f5b62cf,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,a829fab7-cfdd-46f7-a8b7-678a952d2055,1990,7993AF30-FE20-4D8D-908A-637AE87DF811,49985FEB-AB3D-0FEC-5E13-20C572625B99
6887,644,271,504,93079,,,,573,253,9,2,0425c475-38fa-42aa-9a43-a3df5f5b62cf,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,15235530-8209-469e-8333-dc93254f2ec9,1990,7993AF30-FE20-4D8D-908A-637AE87DF811,49985FEB-AB3D-0FEC-5E13-20C572625B99
9264,643,284,504,68139,,,,573,253,9,9,0425c475-38fa-42aa-9a43-a3df5f5b62cf,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,a829fab7-cfdd-46f7-a8b7-678a952d2055,1995,7993AF30-FE20-4D8D-908A-637AE87DF811,49985FEB-AB3D-0FEC-5E13-20C572625B99
9265,643,299,504,75067,,,,573,253,9,9,0425c475-38fa-42aa-9a43-a3df5f5b62cf,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,a829fab7-cfdd-46f7-a8b7-678a952d2055,2000,7993AF30-FE20-4D8D-908A-637AE87DF811,49985FEB-AB3D-0FEC-5E13-20C572625B99
6892,644,308,504,123057,,,,573,253,9,2,0425c475-38fa-42aa-9a43-a3df5f5b62cf,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,15235530-8209-469e-8333-dc93254f2ec9,2003,7993AF30-FE20-4D8D-908A-637AE87DF811,49985FEB-AB3D-0FEC-5E13-20C572625B99
9267,642,306,504,42196,,,,573,253,9,8,0425c475-38fa-42aa-9a43-a3df5f5b62cf,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,9d0bc5f6-9e75-49c8-9511-8be75aba9275,2002,7993AF30-FE20-4D8D-908A-637AE87DF811,49985FEB-AB3D-0FEC-5E13-20C572625B99
6891,644,306,504,120227,,,,573,253,9,2,0425c475-38fa-42aa-9a43-a3df5f5b62cf,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,15235530-8209-469e-8333-dc93254f2ec9,2002,7993AF30-FE20-4D8D-908A-637AE87DF811,49985FEB-AB3D-0FEC-5E13-20C572625B99
9608,646,284,504,68139,,,,573,253,13,9,0425c475-38fa-42aa-9a43-a3df5f5b62cf,B602B58B-6879-4188-9D49-DD833281FE4E,a829fab7-cfdd-46f7-a8b7-678a952d2055,1995,7993AF30-FE20-4D8D-908A-637AE87DF811,49985FEB-AB3D-0FEC-5E13-20C572625B99
9613,646,310,504,81113,,,,573,253,13,9,0425c475-38fa-42aa-9a43-a3df5f5b62cf,B602B58B-6879-4188-9D49-DD833281FE4E,a829fab7-cfdd-46f7-a8b7-678a952d2055,2004,7993AF30-FE20-4D8D-908A-637AE87DF811,49985FEB-AB3D-0FEC-5E13-20C572625B99
9262,642,299,504,39694,,,,573,253,9,8,0425c475-38fa-42aa-9a43-a3df5f5b62cf,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,9d0bc5f6-9e75-49c8-9511-8be75aba9275,2000,7993AF30-FE20-4D8D-908A-637AE87DF811,49985FEB-AB3D-0FEC-5E13-20C572625B99
6890,644,304,504,117462,,,,573,253,9,2,0425c475-38fa-42aa-9a43-a3df5f5b62cf,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,15235530-8209-469e-8333-dc93254f2ec9,2001,7993AF30-FE20-4D8D-908A-637AE87DF811,49985FEB-AB3D-0FEC-5E13-20C572625B99
9609,646,299,504,75067,,,,573,253,13,9,0425c475-38fa-42aa-9a43-a3df5f5b62cf,B602B58B-6879-4188-9D49-DD833281FE4E,a829fab7-cfdd-46f7-a8b7-678a952d2055,2000,7993AF30-FE20-4D8D-908A-637AE87DF811,49985FEB-AB3D-0FEC-5E13-20C572625B99
9611,646,306,504,78031,,,,573,253,13,9,0425c475-38fa-42aa-9a43-a3df5f5b62cf,B602B58B-6879-4188-9D49-DD833281FE4E,a829fab7-cfdd-46f7-a8b7-678a952d2055,2002,7993AF30-FE20-4D8D-908A-637AE87DF811,49985FEB-AB3D-0FEC-5E13-20C572625B99
9612,646,308,504,79557,,,,573,253,13,9,0425c475-38fa-42aa-9a43-a3df5f5b62cf,B602B58B-6879-4188-9D49-DD833281FE4E,a829fab7-cfdd-46f7-a8b7-678a952d2055,2003,7993AF30-FE20-4D8D-908A-637AE87DF811,49985FEB-AB3D-0FEC-5E13-20C572625B99
6889,644,299,504,114761,,,,573,253,9,2,0425c475-38fa-42aa-9a43-a3df5f5b62cf,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,15235530-8209-469e-8333-dc93254f2ec9,2000,7993AF30-FE20-4D8D-908A-637AE87DF811,49985FEB-AB3D-0FEC-5E13-20C572625B99
9610,646,304,504,76535,,,,573,253,13,9,0425c475-38fa-42aa-9a43-a3df5f5b62cf,B602B58B-6879-4188-9D49-DD833281FE4E,a829fab7-cfdd-46f7-a8b7-678a952d2055,2001,7993AF30-FE20-4D8D-908A-637AE87DF811,49985FEB-AB3D-0FEC-5E13-20C572625B99
6888,644,284,504,102157,,,,573,253,9,2,0425c475-38fa-42aa-9a43-a3df5f5b62cf,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,15235530-8209-469e-8333-dc93254f2ec9,1995,7993AF30-FE20-4D8D-908A-637AE87DF811,49985FEB-AB3D-0FEC-5E13-20C572625B99
8974,1392,284,504,175.959,,,,575,492,57,206,6d59857b-7ff7-498e-9d2d-464810b1f4e3,5f0b837d-d4ba-4cce-8403-47e77652ca36,484453f3-0c5b-4a20-a55b-0dbf6202af43,1995,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
9806,1395,288,504,33,,,,575,491,73,42,07be5876-c318-4be6-b483-4d7e8df08d45,d17b7ae9-f210-431b-a384-9bf6c3830068,2856b9e8-e860-4b41-91a7-92ef0c878863,1996,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
8999,352,295,504,17.5,,,,575,130,58,2,a82a66ca-ca32-47c4-aa6e-28d7bc7ef6ec,1f3ca754-0ee8-4f2b-bbd6-cd6081f60027,15235530-8209-469e-8333-dc93254f2ec9,1999,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
9014,1391,293,504,947.677,,,,575,492,57,205,6d59857b-7ff7-498e-9d2d-464810b1f4e3,5f0b837d-d4ba-4cce-8403-47e77652ca36,ca65379f-31d7-435d-9dbb-08c4dcad142e,1998,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
8594,362,284,504,121.942,,,,575,134,60,2,fbb94751-41b7-42ee-982b-fcebbfcfaf4d,81e330fd-1b60-4341-80cd-732036c7822a,15235530-8209-469e-8333-dc93254f2ec9,1995,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
7133,1384,279,504,22.7,,,,575,486,72,2,9577aaa1-86bd-49d3-a171-8fd3a995c31c,0e86a380-fcb4-45d2-bafb-d4a39d6f21d6,15235530-8209-469e-8333-dc93254f2ec9,1992,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
9855,1395,284,504,29.7,,,,575,491,73,42,07be5876-c318-4be6-b483-4d7e8df08d45,d17b7ae9-f210-431b-a384-9bf6c3830068,2856b9e8-e860-4b41-91a7-92ef0c878863,1995,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
9854,1397,283,504,11.5,,,,575,491,73,207,07be5876-c318-4be6-b483-4d7e8df08d45,d17b7ae9-f210-431b-a384-9bf6c3830068,e3c32d66-a817-4c93-8cb0-f99ae4850770,1994,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
8975,1391,291,504,877.981,,,,575,492,57,205,6d59857b-7ff7-498e-9d2d-464810b1f4e3,5f0b837d-d4ba-4cce-8403-47e77652ca36,ca65379f-31d7-435d-9dbb-08c4dcad142e,1997,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
8241,461,288,504,8,,,,575,182,62,2,a8acb37d-3cb9-4e18-8ac3-57a50d07370a,8bbea2b2-8c8e-4e4a-8660-90c4520859a1,15235530-8209-469e-8333-dc93254f2ec9,1996,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
5457,1387,308,504,.717,,,,575,489,57,205,b84d066d-4c7d-4c34-b75b-e96574dcad4c,5f0b837d-d4ba-4cce-8403-47e77652ca36,ca65379f-31d7-435d-9dbb-08c4dcad142e,2003,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
9717,1392,308,504,113.038,,,,575,492,57,206,6d59857b-7ff7-498e-9d2d-464810b1f4e3,5f0b837d-d4ba-4cce-8403-47e77652ca36,484453f3-0c5b-4a20-a55b-0dbf6202af43,2003,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
9808,1397,288,504,25.9,,,,575,491,73,207,07be5876-c318-4be6-b483-4d7e8df08d45,d17b7ae9-f210-431b-a384-9bf6c3830068,e3c32d66-a817-4c93-8cb0-f99ae4850770,1996,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
9933,1395,308,504,27.247,,,,575,491,73,42,07be5876-c318-4be6-b483-4d7e8df08d45,d17b7ae9-f210-431b-a384-9bf6c3830068,2856b9e8-e860-4b41-91a7-92ef0c878863,2003,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
8242,461,291,504,9,,,,575,182,62,2,a8acb37d-3cb9-4e18-8ac3-57a50d07370a,8bbea2b2-8c8e-4e4a-8660-90c4520859a1,15235530-8209-469e-8333-dc93254f2ec9,1997,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
9360,1392,304,504,198.771,,,,575,492,57,206,6d59857b-7ff7-498e-9d2d-464810b1f4e3,5f0b837d-d4ba-4cce-8403-47e77652ca36,484453f3-0c5b-4a20-a55b-0dbf6202af43,2001,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
6051,1383,283,504,30.8,,,,575,485,72,2,72f644a7-6bcf-4704-9ace-f1e618929dcf,0e86a380-fcb4-45d2-bafb-d4a39d6f21d6,15235530-8209-469e-8333-dc93254f2ec9,1994,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
8976,1392,291,504,163.692,,,,575,492,57,206,6d59857b-7ff7-498e-9d2d-464810b1f4e3,5f0b837d-d4ba-4cce-8403-47e77652ca36,484453f3-0c5b-4a20-a55b-0dbf6202af43,1997,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
6055,1383,293,504,31.4,,,,575,485,72,2,72f644a7-6bcf-4704-9ace-f1e618929dcf,0e86a380-fcb4-45d2-bafb-d4a39d6f21d6,15235530-8209-469e-8333-dc93254f2ec9,1998,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
9358,1392,299,504,265.08,,,,575,492,57,206,6d59857b-7ff7-498e-9d2d-464810b1f4e3,5f0b837d-d4ba-4cce-8403-47e77652ca36,484453f3-0c5b-4a20-a55b-0dbf6202af43,2000,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
9925,1396,293,504,37.3,,,,575,491,73,43,07be5876-c318-4be6-b483-4d7e8df08d45,d17b7ae9-f210-431b-a384-9bf6c3830068,520dd72c-ad29-4853-810a-2e4dfb01cc97,1998,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
7135,1384,283,504,22.6,,,,575,486,72,2,9577aaa1-86bd-49d3-a171-8fd3a995c31c,0e86a380-fcb4-45d2-bafb-d4a39d6f21d6,15235530-8209-469e-8333-dc93254f2ec9,1994,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
8597,362,293,504,94.8917,,,,575,134,60,2,fbb94751-41b7-42ee-982b-fcebbfcfaf4d,81e330fd-1b60-4341-80cd-732036c7822a,15235530-8209-469e-8333-dc93254f2ec9,1998,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
7134,1384,280,504,22.9,,,,575,486,72,2,9577aaa1-86bd-49d3-a171-8fd3a995c31c,0e86a380-fcb4-45d2-bafb-d4a39d6f21d6,15235530-8209-469e-8333-dc93254f2ec9,1993,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
7697,362,306,504,166.267,,,,575,134,60,2,fbb94751-41b7-42ee-982b-fcebbfcfaf4d,81e330fd-1b60-4341-80cd-732036c7822a,15235530-8209-469e-8333-dc93254f2ec9,2002,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
9856,1396,284,504,34.6,,,,575,491,73,43,07be5876-c318-4be6-b483-4d7e8df08d45,d17b7ae9-f210-431b-a384-9bf6c3830068,520dd72c-ad29-4853-810a-2e4dfb01cc97,1995,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
7695,362,299,504,91.34999999999999,,,,575,134,60,2,fbb94751-41b7-42ee-982b-fcebbfcfaf4d,81e330fd-1b60-4341-80cd-732036c7822a,15235530-8209-469e-8333-dc93254f2ec9,2000,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
9359,1391,304,504,454.638,,,,575,492,57,205,6d59857b-7ff7-498e-9d2d-464810b1f4e3,5f0b837d-d4ba-4cce-8403-47e77652ca36,ca65379f-31d7-435d-9dbb-08c4dcad142e,2001,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
5441,1384,295,504,23.1,,,,575,486,72,2,9577aaa1-86bd-49d3-a171-8fd3a995c31c,0e86a380-fcb4-45d2-bafb-d4a39d6f21d6,15235530-8209-469e-8333-dc93254f2ec9,1999,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
7698,362,308,504,166.266,,,,575,134,60,2,fbb94751-41b7-42ee-982b-fcebbfcfaf4d,81e330fd-1b60-4341-80cd-732036c7822a,15235530-8209-469e-8333-dc93254f2ec9,2003,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
9363,1391,308,504,555.803,,,,575,492,57,205,6d59857b-7ff7-498e-9d2d-464810b1f4e3,5f0b837d-d4ba-4cce-8403-47e77652ca36,ca65379f-31d7-435d-9dbb-08c4dcad142e,2003,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
8593,362,283,504,129.583,,,,575,134,60,2,fbb94751-41b7-42ee-982b-fcebbfcfaf4d,81e330fd-1b60-4341-80cd-732036c7822a,15235530-8209-469e-8333-dc93254f2ec9,1994,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
9718,1395,283,504,25.7,,,,575,491,73,42,07be5876-c318-4be6-b483-4d7e8df08d45,d17b7ae9-f210-431b-a384-9bf6c3830068,2856b9e8-e860-4b41-91a7-92ef0c878863,1994,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
9928,1396,295,504,43.4,,,,575,491,73,43,07be5876-c318-4be6-b483-4d7e8df08d45,d17b7ae9-f210-431b-a384-9bf6c3830068,520dd72c-ad29-4853-810a-2e4dfb01cc97,1999,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
5444,1384,306,504,22.5,,,,575,486,72,2,9577aaa1-86bd-49d3-a171-8fd3a995c31c,0e86a380-fcb4-45d2-bafb-d4a39d6f21d6,15235530-8209-469e-8333-dc93254f2ec9,2002,7993AF30-FE20-4D8D-908A-637AE87DF811,CE44750F-C2A6-75B1-5704-CE71A88F86C5
