IC_NId;IC_Parent_GId;IC_Parent_NId;IC_GId;IC_Name;IC_Global;IC_Info;IC_Type
109;EA58CD83-9AB1-42A1-8FA4-6C1EE05A4817;108;13F6C4BD-0D85-4856-BBFF-E08D1587E7AB;Objectif 1. Réduire l'extrême pauvreté et la faim;TRUE;;GL
110;EA58CD83-9AB1-42A1-8FA4-6C1EE05A4817;108;56B5BADA-CEBE-4AA1-ADC6-5E4FE17B6059;Objectif 2. Assurer l'éducation primaire pour tous;TRUE;;GL
111;EA58CD83-9AB1-42A1-8FA4-6C1EE05A4817;108;E990F012-1BB0-42AF-B582-24581B04C917;Objectif 3. Promouvoir l'égalité des sexes et l'autonomisation des femmes;TRUE;;GL
112;EA58CD83-9AB1-42A1-8FA4-6C1EE05A4817;108;1191B9EC-F63B-44B0-855D-D8A787DF411A;Objectif 4. Réduire la mortalité des enfants;TRUE;;GL
113;EA58CD83-9AB1-42A1-8FA4-6C1EE05A4817;108;CD8FCDB9-A44C-41EF-8DC8-C70182873B51;Objectif 5. Améliorer la santé maternelle;TRUE;;GL
114;EA58CD83-9AB1-42A1-8FA4-6C1EE05A4817;108;3EDBBEB3-06CE-4EFC-9C81-18E29D104737;Objectif 6. Combattre le VIH/sida, le paludisme et d'autres maladies;TRUE;;GL
115;EA58CD83-9AB1-42A1-8FA4-6C1EE05A4817;108;2384F7ED-9D34-4771-BCE0-141BF2486E52;Objectif 7. Assurer un environnement durable;TRUE;;GL
116;EA58CD83-9AB1-42A1-8FA4-6C1EE05A4817;108;D7FE9463-BBEE-4B47-BD2B-1EDA3563171F;Objectif 8. Mettre en place un partenariat mondial pour le développement;TRUE;;GL
192;513207ED-A731-4CEA-A2B5-8D462CA4B7BB;135;373c9030-83f3-41ad-a2fe-ed0a79600b76;Fécondité;FALSE;;SC
194;513207ED-A731-4CEA-A2B5-8D462CA4B7BB;135;8a6f3daf-b23a-4613-8774-ef557883221f;Mortalité;FALSE;;SC
205;513207ED-A731-4CEA-A2B5-8D462CA4B7BB;135;40357d22-5787-4c94-85fb-fc21a8a88ceb;Etat et structure de la population;FALSE;;SC
210;513207ED-A731-4CEA-A2B5-8D462CA4B7BB;135;f78e6e6b-3b3a-44b0-942c-30c95263b57a;Etat matrimonial et Nuptialité;FALSE;;SC
280;513207ED-A731-4CEA-A2B5-8D462CA4B7BB;135;b9fa352e-ae57-4dcc-a3f8-b0349953a334;Migration;FALSE;;SC
230;06f2544e-3f15-466e-9392-45359515dece;211;bc5edcb6-45f9-453f-a4f8-f273e2c5c43b;0bjectif (1) - Développer et améliorer la protection et l'éducation de la petite enfance;FALSE;;GL
231;06f2544e-3f15-466e-9392-45359515dece;211;7d6b92a6-3e53-4684-8243-3c173038f118;0bjectif (2) - Universaliser une éducation primaire obligatoire et gratuite de qualité;FALSE;;GL
232;06f2544e-3f15-466e-9392-45359515dece;211;df8f7638-4840-4b8b-89b4-ac83f1c53e4f;0bjectif (3) - Répondre aux besoins éducatifs des jeunes et des adultes;FALSE;;GL
233;06f2544e-3f15-466e-9392-45359515dece;211;a4061169-7743-4dce-a655-f94526bc32e7;0bjectif (4) - Améliorer de 50% les niveaux d'alphabétisation des adultes d'ici 2015;FALSE;;GL
234;06f2544e-3f15-466e-9392-45359515dece;211;c9e3a688-6c67-4f95-a0fd-35953ae75a1d;0bjectif (5) - Eliminer les disparités entre les sexes dans l'enseignement primaire et secondaire d'ici 2005 et instaurer l'équité;FALSE;;GL
235;06f2544e-3f15-466e-9392-45359515dece;211;1e9ec81d-88c8-4b78-ac29-af6f2f835a37;0bjectif (6) - Améliorer sous tous ses aspects la qualité de l'éducation;FALSE;;GL
349;d28a274e-53e1-4465-ae5e-eff3fc804503;242;a158f1f1-ffc5-46f5-bf11-f97867cd8e7c;Objectif 22. Promouvoir  l’accès des populations pauvres à une éducation primaire et secondaire de qualité;FALSE;;GL
350;d28a274e-53e1-4465-ae5e-eff3fc804503;242;ef18072c-3624-410f-8d06-4fda8e48a85d;Objectif 23. Redynamiser la formation professionnelle;FALSE;;GL
351;d28a274e-53e1-4465-ae5e-eff3fc804503;242;5e852935-9cae-42d7-bee5-94fb5930f762;Objectif 24. Mettre en place une politique volontariste de lutte contre le paludisme;FALSE;;GL
352;d28a274e-53e1-4465-ae5e-eff3fc804503;242;a1d29c15-0f41-4961-aab5-3572497b6774;Objectif 25. Développer un programme intégré de santé reproductive et de planification familiale;FALSE;;GL
353;d28a274e-53e1-4465-ae5e-eff3fc804503;242;ec3b6d41-9dbe-430f-961b-fb81609f5df1;Objectif 26. Lutter contre le VIH/SIDA et  les IST;FALSE;;GL
