"Indicator_NId";"Indicator_Name";"Indicator_GId";"Indicator_Info";"Indicator_Global"
911;"Effectif des étudiants en maths, sciences et ingénierie en pourcentage des étudiants du supérieur";"f8af68e6-d7b0-4cfe-acd4-167f95f16c37";;0
912;"Effectif des étudiants inscrits dans l'enseignement supérieur à l'étranger";"d67de07f-0fe0-4ebf-9135-926a2337b705";;0
913;"Effectif des étudiants inscrits dans l'enseignement supérieur national";"1c78085a-459f-4bbc-b0ab-d0d5a73c4091";;0
914;"Effectif des enseignants titulaires d'un diplôme de 3e cycle";"b4062a75-0250-43c8-b24d-05fed3e47077";;0
915;"Espérance de vie scolaire";"dc7780a0-aff4-46f7-86ad-146bfdde5e3b";;0
916;"Nombre de Bibliothèques scolaires";"3ff179f6-ba75-4db1-97e2-26aeb8706d75";;0
917;"Nombre de Bibliothèques villageoises";"45b88d74-9da4-4960-921e-be43f153a488";;0
918;"Nombre de Centres de lecture et d'animation culturelle des jeunes";"5e72aa14-3c48-4b82-aef3-70406a4b0540";;0
919;"Nombre de foyers socioculturels";"42148e8d-736f-46d4-9fbd-27178e38a5b7";;0
920;"Nombre de Groupes de théâtre";"24248651-9adf-49ba-a777-18647f0721f3";;0
921;"Nombre de Bibliothèques nationales";"fe5dda8e-6640-466e-bb26-5be4555db8b7";;0
922;"APD par habitant ";"ae9ab30e-568a-4742-a383-f114d366267c";;0
923;"Dette extérieure par habitant";"c3ec2124-768b-469e-a133-a84cf01b7a84";;0
924;"Dette extérieure totale en pourcentage du PIB";"92fc4ca5-9e13-4017-84b9-1ab48378fc9f";;0
925;"Don bilatéral ";"9b925304-cbf9-4247-a91e-ff4259171720";;0
926;"Don multilatéral ";"a0628d1e-731d-4d35-8b85-10c877705ee7";;0
927;"Flux de l'aide en pourcentage du PIB";"2a888f31-e4af-436d-bc09-5ff5b111d6d1";;0
928;"Flux de l'aide extérieur";"47981ae5-1dc9-4845-badf-689970eb4e9a";;0
929;"Prêt bilatéral ";"b3d01711-8453-430c-b231-6956c0e59007";;0
930;"Prêt multilatéral concessionnel  et non concessionnel ";"e12ed4e9-15d8-40f0-8415-ca00ed8884d3";;0
932;"Niveau moyen d'emprunt par habitant";"38bab1b6-7c8e-4b53-a058-b3a899997fcb";;0
933;"Niveau moyen d'épargne par habitant";"ecfe5f40-6aeb-47e4-bb23-a7d077e167f5";;0
934;"Nombre de banques et établissements financiers";"f76224ba-f306-4b6e-8999-95f1cd30a5eb";;0
935;"Nombre de guichets";"c214d1d2-5407-4dea-888b-de1f44f5c929";;0
936;"Nombre de sociétés d’assurance";"dd8a4bf5-2641-4ffc-b5e4-8f61c5ed01b1";;0
937;"Part de crédit aux entreprises";"e980f9a5-19e0-403b-819e-8e26f64bfb64";;0
938;"Part de crédit aux ménages";"a75a0d7b-e859-43df-8f5d-b487dd6c6e8c";;0
939;"Taux de couverture bancaire ";"474914c3-74d0-4ec7-b218-79730a4ff14a";;0
940;"Taux d’intérêt créditeur des banques ";"1a112d6d-9192-4ac2-ac42-765f1f0f53e8";;0
941;"Taux d'intérêt annuel moyen sur les prêts";"6a979fdd-333c-4151-ac4d-5b0acdccace9";;0
942;"Mouvement des transferts de fonds des migrants ";"3c7c3e97-ae15-4698-95bc-563ed6a16d94";;0
943;"Principaux produits d'exportation en valeur";"c9866a9e-c1f0-4cd5-bdfa-2a0f31b859cf";;0
944;"Taux de couverture des exportations";"4e1726d6-c6f3-4f4c-a493-0b0851da21ce";;0
945;"Taux de couverture des importations  ";"3ad76a60-2f1a-4c7c-8f1e-4557d07b3783";;0
946;"Degré d’ouverture de l’économie ";"cc0be8f7-b13c-4064-b4bc-47bdc87d29f1";;0
947;"Déflateur du PIB ";"b00a8f18-b5d5-4539-9096-b179b16aafac";;0
950;"Taux de croissance annuel moyen du PNB ";"d00b2cf3-7760-41bf-b08d-3de8b9dbb726";;0
951;"Taux de croissance annuel moyen du PNB réel par habitant";"93bcdc78-a0f8-4be0-ba7c-635c0bf7f3e9";;0
953;"Taux de croissance de la valeur ajoutée des secteurs primaires";"a535b019-08e5-4509-81b9-ecb961aaaeb2";;0
955;"Taux de croissance de la valeur ajoutée des secteurs secondaires";"f7905175-f2c3-4818-a24c-89598bd22ad6";;0
956;"Taux de croissance de la valeur ajoutée des secteurs tertiaires";"80118c8a-9d16-48c6-bda0-4bee36243d3f";;0
957;"Taux de croissance du PIB en volume";"3f689d48-62ff-4f73-978b-d7fa34843921";;0
958;"Croissance du deflateur du PIB";"3fb0f204-1fa9-4253-8952-d914ac914da4";;0
959;"Dépenses courantes primaires ";"ae778b5d-a0a0-4a14-97d9-80a268ed4ba2";;0
960;"Dépenses en capital extérieur ";"050ee530-24c6-423f-bfc2-1a24410285c5";;0
961;"Dépenses en capital intérieur ";"0201d51d-6a1f-448d-8960-e41cc9972f57";;0
962;"Masse salariale";"37dcf8a8-a912-44c4-a6ac-12f1ef65c886";;0
963;"Taux de croissance du solde budgétaire";"b3a10bbd-58b0-414f-bf12-aee293d8321d";;0
964;"Déficit budgétaire ";"3db857cd-ce53-4220-87aa-b0b9add7aa75";;0
965;"Indice sexo_spécifique de développement";"1bcbb72d-f835-4c92-9eeb-d13414df556b";;0
966;"Niveau de taxation des revenus personnels et des profits des entreprises ";"53500554-dd2c-4620-b52b-01f59ee68332";;0
967;"Part de la taxe unique sur les produits pétroliers dans les recettes de l'Etat";"8b22ae18-7eee-42a3-88b6-52fed1996fb3";;0
968;"Recettes totales hors dons";"bc89576f-5694-4cf3-a9c3-d0c7c17478e4";;0
1350;"Prix de principales denrées";"69b95c72-58ee-480e-9139-a71f0e303d46";;0
969;"Taux de pression fiscale ";"9c590dc3-147a-413b-bb59-26e8b2d864ff";;0
970;"Investissements publics financés par les ressources internes en pourcentage du revenu fiscal";"dc7df5d1-9815-4978-8ba8-469565179d6b";;0
971;"Nombre d’emplois crées ";"d536683c-ccbc-4b24-987c-2a60d909d0e4";;0
972;"Nombre d'entreprises créées par an ";"e8c14f83-1ec3-4202-a606-d5089f7efe60";;0
973;"Nombre total d'entreprises privées PME";"7316cdb9-14ac-48c4-b6dd-a88399f20c63";;0
974;"Nombre total d'entreprises privées PMI";"1d6a2e3e-00f5-4fdf-8719-9672e5d3000d";;0
