Source_NId;Source_GId;Source_Name
596;197BF1CC-19EF-BE50-B2A0-44CC5D0F0CD6;Source 1
600;C3BA9467-6000-77D0-373E-56C3C6926537;Source 2
617;D9725D2D-92DD-2D47-D992-CBC40062CECE;Source 3
588;97B871B7-AB2F-6FCD-B689-483CEE757402;Source 4
589;DF4A7B13-4FE3-7C60-4BD1-5F68BB5F221A;Source 5
581;1F216D96-75F9-3EA6-77BD-3F89228A544D;Source 6
583;FB1C996F-11C9-C30A-CB8C-696A8567D21B;Source 7
584;30CBA119-0D99-9D6B-7164-1C026097095B;Source 8
597;43668EA0-CF9F-2826-DE3D-25E5239CFD36;Source 9
586;C5475F20-4C50-49F5-7EDF-DE8124135C95;Source 10
580;CB7E7F2D-BA0A-3328-8D62-4F69E9ED496D;Source 11
598;D81E1E3B-D9F9-794E-1DF0-A96E11C03404;Source 12
593;2FC25C5A-5499-3E4E-AE14-E1EF163B5150;Source 13
645;F134B544-F471-1A41-D85A-02BD6F1E375C;Source 14
611;2994C55F-0A01-3A30-A86D-8FC5CCD54CCA;Source 15
587;3492F8CB-BC34-C410-1A22-63A2855F02B4;Source 16
576;69C1CCA6-445A-FCAA-D058-5BBD98925EA7;Source 17
575;CE44750F-C2A6-75B1-5704-CE71A88F86C5;Source 18
578;7B43D2F9-7FC4-BBFD-C03F-9ADE1D07BE0F;Source 19
573;49985FEB-AB3D-0FEC-5E13-20C572625B99;Source 20
599;94F7F99E-02F7-FF76-B912-0A213E1293CE;Source 21
591;D962C23B-2549-18AF-933A-27612274E688;Source 22
616;FA1571CD-A9AA-794A-CA47-64065347F274;Source 23
604;B66D7217-B668-380C-53CB-CC71F9031DED;Source 24
594;E3C23948-CFFA-55EE-3253-82FF63EFD8BC;Source 25
605;47ED5B81-2195-798A-07D6-6FF7EA78E0AD;Source 26
608;3B2EB3F2-8D74-1C82-CC6F-1FEC5D3FAE03;Source 27
613;246765A1-9FB2-15C2-7E18-F123520B4A08;Source 28
579;0B51463E-57E0-6CDC-A5C0-4EC7F6608C8F;Source 29
590;4D640DB5-AF6F-4055-6704-9A74A54D6D81;Source 30
612;F309FDBB-FBE6-A225-A0DF-E92859C59B37;Source 31
646;589B9170-D37F-0FF4-AF1D-C401970F5631;Source 32
601;318F9776-04EB-B29C-86AF-5C9A42A265C5;Source 33
602;450C4FAE-320B-DA5B-1103-08F430B47F49;Source 34
609;5CE15A8A-66D3-C48D-2AFF-003F9947A7F9;Source 35
595;1B1DF13B-B057-4C91-263A-47F02A501210;Source 36
582;3D7F03B1-2ABB-64BF-FD6C-1B6522E2F1CB;Source 37
641;73F3463E-379B-340E-1057-471758BA3957;Source 38
592;F2B07199-B0F2-3DFC-DCF7-884A53769EDD;Source 39
614;04B41A76-187A-1DC7-1F6C-F0325C102B31;Source 40
615;E500BD0E-2920-A502-CF75-733131AEE0FE;Source 41
606;295211DA-5CA9-AAC6-6A3D-CB8BC5E3B4C4;Source 42
618;3BB6FE82-091B-62D9-8F8E-B12BAF659D8A;Source 43
643;BCB8B445-2D83-42BC-C4FB-D6A072B737F8;Source 44
657;94FA7D49-7DAE-A561-385F-BE23B6CF6C6C;Source 45
585;E2E61E4B-0A2A-2654-8FCF-DF05BCE23ED7;Source 46
