Subgroup_Val_Subgroup_NId;Subgroup_Val_NId;Subgroup_Val_GId;Subgroup_NId;Subgroup_GId
1;208;A4AF6DD2-2467-454F-BC9D-5042DAAD4EA2;1;9DC4BB56-CD7D-4F5B-8901-571230F06AD4
2;209;53C2E3AE-B57E-4A9E-A9DB-81AE1F539E35;231;5462415A-6ED2-4663-9721-E698966F8AFD
3;209;53C2E3AE-B57E-4A9E-A9DB-81AE1F539E35;1;9DC4BB56-CD7D-4F5B-8901-571230F06AD4
4;210;5B840D1E-1143-4C88-9451-17FEA79E2BBD;2;D3D49222-62E2-4BB6-B350-6852D992A1D0
5;211;BFC8EF7A-9813-47D4-ABA3-B67E838B3751;231;5462415A-6ED2-4663-9721-E698966F8AFD
6;211;BFC8EF7A-9813-47D4-ABA3-B67E838B3751;2;D3D49222-62E2-4BB6-B350-6852D992A1D0
7;212;6C488313-445B-494D-A9E3-14CA715E9F50;8;88AB78C1-2DF7-4A50-B3F4-5E287CDEBAE3
8;212;6C488313-445B-494D-A9E3-14CA715E9F50;4;{D9B383F3-E245-454D-9AA8-04932E7D3CEB}
9;213;B28917C7-2A5F-40E8-BED5-1A4834216094;13;3CA34DD3-FAC2-4B63-BE88-8B5ACDC7DC7A
10;213;B28917C7-2A5F-40E8-BED5-1A4834216094;4;{D9B383F3-E245-454D-9AA8-04932E7D3CEB}
11;214;C1D3CF76-B6CC-4670-9252-5018B6AB0DB1;231;5462415A-6ED2-4663-9721-E698966F8AFD
12;214;C1D3CF76-B6CC-4670-9252-5018B6AB0DB1;4;{D9B383F3-E245-454D-9AA8-04932E7D3CEB}
13;215;7F01DFB3-3115-49ED-A981-5A1D95A6EA54;7;A7CAE40C-D0C0-436B-B8D4-9828E80D8506
14;215;7F01DFB3-3115-49ED-A981-5A1D95A6EA54;4;{D9B383F3-E245-454D-9AA8-04932E7D3CEB}
15;216;DCBE9AAF-56F8-4821-B870-3BAF7295CAEF;238;E9F3CBCE-7843-44E9-8640-56AB74C0954D
16;216;DCBE9AAF-56F8-4821-B870-3BAF7295CAEF;1;9DC4BB56-CD7D-4F5B-8901-571230F06AD4
17;217;45743995-2508-464D-877C-8D854B0DDBEB;16;37EC61BF-3493-4CFC-848A-CCD1E43A0B4F
18;217;45743995-2508-464D-877C-8D854B0DDBEB;1;9DC4BB56-CD7D-4F5B-8901-571230F06AD4
19;217;45743995-2508-464D-877C-8D854B0DDBEB;5;25C6CEC6-C5A1-444F-A5E8-9A9E98206A85
20;218;BC696A4A-24D8-425A-B137-82EA19A3B5E1;16;37EC61BF-3493-4CFC-848A-CCD1E43A0B4F
21;218;BC696A4A-24D8-425A-B137-82EA19A3B5E1;1;9DC4BB56-CD7D-4F5B-8901-571230F06AD4
22;218;BC696A4A-24D8-425A-B137-82EA19A3B5E1;3;B094B64D-6D40-4304-901E-8D4C358EBDE3
23;273;0135F34A-2511-4667-B383-53147071A970;26;326858E4-149D-4071-8FF9-6E04BF0D4D44
24;274;7A2EE04C-615D-4595-937C-6710FFE1762B;25;57AE5DDE-7B48-4FFF-9AA6-DF8F22C83BC7
25;275;D702AB7E-F057-4F5B-B061-DC5C6D3C8A43;24;4A45E641-C531-409E-94FB-BABA2A2494AB
26;276;E99AEBB4-4314-4A8C-9533-ED6F845A34B7;238;E9F3CBCE-7843-44E9-8640-56AB74C0954D
27;276;E99AEBB4-4314-4A8C-9533-ED6F845A34B7;3;B094B64D-6D40-4304-901E-8D4C358EBDE3
28;277;E6EC05C2-16FE-400C-B273-9C59C2959854;238;E9F3CBCE-7843-44E9-8640-56AB74C0954D
29;277;E6EC05C2-16FE-400C-B273-9C59C2959854;5;25C6CEC6-C5A1-444F-A5E8-9A9E98206A85
30;278;F6E80D54-D9F2-4BC0-B181-35A7F14B7275;20;481AD9E7-7C26-409B-A2B3-C65D7065405F
