"Subgroup_Val_NId","Subgroup_Val","Subgroup_Val_GId","Subgroup_Val_Global"
1,"Féminin Rural","971fc4f1-f2f8-47ff-8875-129c258ebf2e",0
2,"Total","15235530-8209-469e-8333-dc93254f2ec9",0
4,"Rural Femme","a23efb4e-9bb0-4b7c-9c18-ab2f6ab802f7",0
5,"Rural Homme","5769cd91-f57b-4786-a4bc-0ee50253f616",0
6,"Urbain Femme","c7ecd91c-75bb-42e2-a962-ea1b42502abb",0
7,"Urbain Homme","e8204187-3e74-47ff-ae28-f6dae02174d1",0
8,"Femme","9d0bc5f6-9e75-49c8-9511-8be75aba9275",0
9,"Homme","a829fab7-cfdd-46f7-a8b7-678a952d2055",0
10,"Femme 1 an","c340db17-9cdc-4ad8-9407-624d7e894442",0
11,"Homme 1 an","9ac32fc8-7039-48da-8e7d-d8dff9c7b51d",0
12,"Femme <5 ans","9546b01d-0548-4a8d-8186-779b0d44c2f0",0
13,"Homme <5 ans","79c25d40-e43b-4ad7-8c4d-9bce1d9657de",0
14,"Femme 6-14 ans","5ae9e0cb-009f-426c-b1d3-30f809287416",0
15,"Homme 6-14 ans","81894cd6-eb4b-4be3-90db-026265f2a8d5",0
16,"Femme 18+ ans","4aeb19ee-11c2-4d2e-9edc-dc0e044ef188",0
17,"Homme 18+ ans","972f17de-98a3-4899-bd0a-1a3b738d2458",0
18,"Femme 15-49 ans","1389dc4f-530f-4c04-9871-22188a10461a",0
19,"Femme 0-14 ans","27f67fb3-6909-4687-8c03-6f118c05f792",0
20,"Homme 0-14 ans","33af2af7-891b-458f-a5d3-a80eef5e3149",0
21,"Femme 60+ ans","74544690-7df2-42a2-b9aa-139265dd1c70",0
22,"Homme 60+ ans","1a7d3164-ff1a-41aa-af1a-d8336a9dd696",0
23,"Femme 15-59 ans","97f3e953-c0db-4303-b79b-565b33df92c4",0
24,"Homme 15-59 ans","32ece903-5f3c-4923-b80b-a715bb988234",0
25,"Total <5 ans","0ed66e48-635e-4ca5-b7ab-d5fa8c6d000d",0
26,"Total 0-14 ans","cc57948a-c5f1-44de-8090-de912fd695dc",0
27,"Total 1 an","fd741aa8-c416-4b41-a3fb-5ab197ef2d26",0
28,"Total < 20 ans","9a7acfb0-28ef-4163-bbfc-c2f6f783d381",0
29,"Total 15-59 ans","8de95fda-8195-479b-bca4-0539051b4f9f",0
30,"Total 18+ ans","48c70e58-6ff2-4cfc-91ea-2d033ad4f9dd",0
31,"Total 60+ ans","de61398b-82e4-4e45-b854-9871b89df553",0
32,"Total 6-11 ans","2bf50bc6-f238-495b-a1dc-ec5a00d078e4",0
33,"Total 6-14 ans","da4493dd-b5e8-467e-a67f-c824d36eccd6",0
34,"Femme 6-11 ans","527a3715-29a1-469c-82a0-c6a95344fe41",0
35,"Homme 6-11 ans","313f7545-ec02-4c19-87c6-d4ac59c996e7",0
36,"CE1","b2c3a462-d048-4977-96bf-a1f3b95c2506",0
37,"CE2","1a4e86b5-d7ab-4f06-9752-408659c10895",0
38,"CM1","8e8888aa-f299-4a3f-8e56-2ab19779ae50",0
39,"CM2","43b823b5-bf2f-42e1-b99f-4bc4bcfe08c4",0
