"Subgroup_NId","Subgroup_Name","Subgroup_GId","Subgroup_Global","Subgroup_Type"
168,"Fosse optique","3bc58bd0-3caf-4ba4-bb5c-b04003fda7f3",0,4
169,"Lattrine à chasse d'eau ou à seau","5a104e72-863a-4eee-bd18-4f5bbfaaa80a",0,4
170,"Lattrines améliorées","e8f3a242-dbe9-4928-807f-0103165682aa",0,4
171,"Lattrines traditionnelles","5aab312f-f491-43a3-987a-ea8b7fa39108",0,4
172,"Trou ouvert","dd0208ce-e201-4b57-91fe-3f17301f5006",0,4
173,"Système d'égouts","c7dc1a19-269c-4bc4-a625-2e60d6f6f0dc",0,4
174,"Identifient correctement 3 conception erronées","04392320-990a-45b0-8682-e66bb01922d5",0,4
175,"Connaissent trois moyens","b2787d96-16db-4d48-8d3b-5957f0fda276",0,4
176,"Pluie","6d74af68-2724-4c0e-9393-8590b5746c36",0,4
177,"12 ans +","b4947006-b8fa-49d9-b2d9-9afb304a97bd",0,4
178,"Moyenne","c0421f40-7dbb-48b4-ba17-a2e5a032c4e4",0,4
179,"Autres pays","eca5ccc9-7d17-4feb-8ffa-0ec47f0eed86",0,4
180,"France","b7804296-7f9e-4931-8629-ae94af8a02a5",0,4
181,"Madagascar","3a61a2e3-3ed3-4892-ae7a-31990e00a5d9",0,4
182,"Mayotte","d0b2b5b8-291b-4f25-a859-76de9ab252e9",0,4
183,"Autres pays de l'Afrique","22d0311a-2e65-4f2a-9fa2-26c3aee34f7a",0,4
184,"15-64 ans","0fe14ad2-e802-4f4a-b655-dd1f221dac18",0,4
185,"65 ans et +","103092e3-ac5d-4081-bd60-d80f61afb2ab",0,4
186,"6ème","6cd140b3-b97f-44b0-ab1e-9e6cd6dbef5c",0,4
187,"5ème","132713b1-3345-4e1d-8f73-72d6c6bf96c5",0,4
188,"4ème","52c45eaa-d876-4900-9a4a-ed934338f70b",0,4
189,"3ème","af45d47e-fd18-48a2-8451-072c581104c7",0,4
190,"2nde","087f83c0-0d27-4062-a909-6f84681bf7f7",0,4
191,"1ère","447b999c-1b3b-4ad2-9ffa-f161f7d21b84",0,4
192,"Terminale","8858c8e8-a53f-4de9-8672-fe65a71ef0b7",0,4
193,"15 ans +","edb9924b-1f2f-4f2f-b120-a7d2775dbd8a",0,4
194,"Série A","169f596f-20d6-4d74-a3bb-260278412b7b",0,4
195,"Série C","a4765192-9b4d-47fa-9634-117f6e7759f6",0,4
196,"Série D","43585b0a-9992-4b60-a742-8b02269dfb98",0,4
197,"Série A1","8a6f81ec-4b55-46cc-abbb-5b0befb4acb7",0,4
198,"Série G","04400bad-bfcc-46d8-914b-04e3fbdc32e7",0,4
199,"Avril à Hahaya","6ffa5d50-9b37-43dc-9856-5231c8c3e236",0,4
200,"Décembre à Hahaya","8bce2c0a-5cd1-4c2b-9714-91e4b7f2a7ed",0,4
201,"Février à Hahaya","b64f1872-4427-4fef-a563-fad04e99e4df",0,4
202,"Janv./Avril à Hahaya","b4d7c962-1907-4279-b543-861bbd6be767",0,4
203,"Janvier à Hahaya","135c89a5-8216-41c9-abf8-95a10b7e8181",0,4
204,"Mars à Hahaya","111ae255-9d73-4033-b88c-f2a7ecc05a08",0,4
205,"Débarquée","5aca8601-56e3-444c-9eab-35fe86d26025",0,4
206,"Embarquée","750828b5-320b-456e-8db6-1b4cd4334d80",0,4
207,"Transit","ee603f85-35d7-4269-aa39-89a95202d7d5",0,4
208,"1-4 ans","1cf01238-f209-438b-9029-aa7629b64f62",0,4
209,"5-9 ans","7a80348b-e77d-4f49-9a87-a3b4fb342f50",0,4
210,"10-14 ans","551251cf-e0d8-43e9-9041-30b1d9d6ea22",0,4
211,"15-19 ans","1b737d4e-1c71-4f90-ab0f-7f34b3e5bc77",0,4
212,"20-24 ans","9ae10ae1-6186-43a2-a550-383247e953d9",0,4
213,"25-29 ans","6eeb7303-ab52-4f45-8936-43d9bdf87b5d",0,4
214,"30-34 ans","123963e8-b7be-4a45-9fe1-c98282e89967",0,4
215,"35-39 ans","c1d5db14-24b8-4e85-9bd2-26554733780d",0,4
216,"40-44 ans","b6fc72db-cfe5-41d0-b9a9-5ef86ac49762",0,4
217,"45-49 ans","0a7b6861-84fc-44b0-a43c-4b242f2883b0",0,4
218,"50-54 ans","f56d7583-3542-45ff-b273-0ec44be1c2f9",0,4
219,"55-59 ans","49a7f39a-0dbe-4787-925e-39f24cfa08b8",0,4
220,"60-64 ans","3d87104f-408b-4187-92c9-691b22a4c53f",0,4
221,"65-69 ans","074a73f1-ecb8-4d85-963a-ac95d91a14d7",0,4
222,"70-74 ans","c007ddc7-5ab5-4602-b818-3bd0b4137f13",0,4
223,"75-79 ans","766e9349-d951-4f7f-bb1f-bf6b887d74dc",0,4
224,"80-84 ans","3e795de8-e1df-45a4-9ffd-cebd221ced21",0,4
225,"85-89 ans","c587d809-ebfe-455e-9fcf-e892102d11fc",0,4
226,"90-94 ans","ab6c8340-9731-44a9-82aa-72bd0c9b22f9",0,4
227,"95+ ans","17b19424-c555-4ba7-9205-2b4c3b559bc4",0,4
228,"0 an","0bb9fb1d-b2fc-4615-b7c9-6f0abc8dc30d",0,4
