TimePeriod_NId,TimePeriod
1,"2011.01"
2,"2011.02"
3,"2011.03"
4,"2011.04"
5,"2011.05"
6,"2011.06"
7,"2011.07"
8,"2011.08"
9,"2011.09"
10,"2011.10"
11,"2011.11"
12,"2011.12"
13,"2012.01"
14,"2012.02"
15,"2012.03"
16,"2012.04"
17,"2012.05"
18,"2012.06"
19,"2012.07"
20,"2012.08"
21,"2012.09"
22,"2012.10"
23,"2012.11"
24,"2012.12"
25,"2013.01"
26,"2013.02"
27,"2013.03"
28,"2013.04"
29,"2013.05"
30,"2013.06"
31,"2013.07"
32,"2013.08"
33,"2013.09"
34,"2013.10"
35,"2013.11"
36,"2013.12"
37,"2014.01"
38,"2014.02"
39,"2014.03"
40,"2014.04"
41,"2014.05"
42,"2014.06"
43,"2014.07"
44,"2014.08"
45,"2014.09"
46,"2014.10"
47,"2014.11"
48,"2014.12"
49,"2015.01"
50,"2015.02"
51,"2015.03"
52,"2015.04"
53,"2015.05"
54,"2015.06"
55,"2015.07"
56,"2015.08"
57,"2015.09"
58,"2015.10"
59,"2015.11"
60,"2015.12"
61,"2016.01"
62,"2016.02"
63,"2016.03"
64,"2016.04"
65,"2016.05"
66,"2016.06"
67,"2016.07"
68,"2016.08"
69,"2016.09"
70,"2016.10"
71,"2016.11"
72,"2016.12"
73,"2017.01"
74,"2017.02"
75,"2017.03"
76,"2017.04"
77,"2017.05"
78,"2017.06"
79,"2017.07"
80,"2017.08"
81,"2017.09"
82,"2017.10"
83,"2017.11"
84,"2017.12"
85,"2018.01"
86,"2018.02"
87,"2018.03"
88,"2018.04"
89,"2018.05"
90,"2018.06"
91,"2018.07"
92,"2018.08"
93,"2018.09"
94,"2018.10"
95,"2018.11"
96,"2018.12"
97,"2019.01"
98,"2019.02"
99,"2019.03"
100,"2019.04"
101,"2019.05"
102,"2019.06"
103,"2019.07"
104,"2019.08"
105,"2019.09"
106,"2019.10"
107,"2019.11"
108,"2019.12"
109,"2020.01"
110,"2020.02"
111,"2020.03"
112,"2020.04"
113,"2020.05"
114,"2020.06"
115,"2020.07"
116,"2020.08"
117,"2020.09"
118,"2020.10"
119,"2020.11"
120,"2020.12"
121,"2021.01"
122,"2021.02"
123,"2021.03"
124,"2021.04"
125,"2021.05"
126,"2021.06"
127,"2021.07"
128,"2021.08"
129,"2021.09"
130,"2021.10"
131,"2021.11"
132,"2021.12"
133,"2000.01"
134,"2000.02"
135,"2000.03"
136,"2000.04"
137,"2000.05"
138,"2000.06"
139,"2000.07"
140,"2000.08"
141,"2000.09"
142,"2000.10"
143,"2000.11"
144,"2000.12"
145,"2001.01"
146,"2001.02"
147,"2001.03"
148,"2001.04"
149,"2001.05"
150,"2001.06"
151,"2001.07"
152,"2001.08"
153,"2001.09"
154,"2001.10"
155,"2001.11"
156,"2001.12"
157,"2002.01"
158,"2002.02"
159,"2002.03"
160,"2002.04"
161,"2002.05"
162,"2002.06"
163,"2002.07"
164,"2002.08"
165,"2002.09"
