"Unit_NId","Unit_Name","Unit_GId","Unit_Global"
1,"$ É.-U.","E0A16B24-DB3E-4F89-9DC0-EB570A55F709",1
2,"$ É.-U. en PPA par kg d'équivalent pétrole","3B133994-A1A2-45BE-A04C-4ACD9BC4E125",1
3,"1 sur n","3934860C-CCCF-41EE-A8F5-6DE84E334127",0
4,"Années","18E62BCA-BABA-4A00-B804-7255E169BAC2",0
5,"Décès pour 100,000 naissances vivantes","20BAC13F-9C51-4312-8D8A-C9A787D19185",1
6,"Décès pour 1000 naissances vivantes","E009CCF1-8466-4816-B705-169EDB7E9802",1
9,"Nombre","784D95D4-0CE0-45D9-BAFF-C9D19082FFDD",1
10,"Pour 100 habitants","18EBDC26-DBD5-4F46-93C3-624C14400D50",1
11,"Pour 100,000 habitants","4F5FCB7B-B738-463D-B124-1DFDD5678A26",1
12,"Pour 1000 habitants","D5089CA6-D75B-4A54-B2AA-A5E9A8F86B38",0
13,"Pour cent","B602B58B-6879-4188-9D49-DD833281FE4E",1
14,"Rang","91186FD5-F0A1-48A3-81E4-0F1CDBA3E061",0
15,"Rapport","85135146-615C-4B9E-87C5-9BCDE27771E9",1
16,"Risque de décès maternel sur la vie entière, 1 sur n","6509F1DD-C699-474D-8172-6A85EBC924C2",0
17,"Taux","B199B242-B747-43E2-964E-92FB64BFE0A4",1
18,"Tonnes métriques","0DC810EE-EB83-4C1A-A673-62C4782756F6",1
19,"$ É-U","E0A16B24-DB3E-4F89-9DC0-EB570A55F709",1
20,"$ É-U en PPA par kg d'équivalent pétrole","3B133994-A1A2-45BE-A04C-4ACD9BC4E125",1
22,"An","1279050B-A942-4EC1-B399-ADC0D0C61B85",0
23,"Ans","FEF2B512-1C6A-48C5-A0DB-BB0737BCC4CD",0
24,"Décès pour 100.000 naissances vivantes","20BAC13F-9C51-4312-8D8A-C9A787D19185",1
25,"Habitants au km2","4E39CDF0-2F60-4CC2-A894-A88D9A0A84A3",0
26,"Indice","A8CCFB05-AE5F-4035-92FF-FFB8A98B879A",0
27,"Kg d'équivalent pétrole par habitant","D743C1F2-AB1B-4805-8ADA-5D59BC255B6D",0
28,"Kilowatts-Heure","6051E382-A6D9-46F2-B83E-473A75F55DA8",0
29,"Mille km2","55DE9569-7C85-4F16-9F91-E4231CE80D2F",0
34,"Moyenne annuelle par adulte","CC51D630-24E5-4008-99E6-95DF4AFFE5BB",0
35,"Par hectare","7BA61A38-81DB-4368-A373-2363F4013CB1",0
36,"Par million d'habitants","5CB52430-83BC-453A-966D-A1E5DD2F1863",0
37,"Pour 100.000 habitants","4F5FCB7B-B738-463D-B124-1DFDD5678A26",1
